question,SAT,ACT_even,ACT_odd 
question_0260.tex,D,K,E 
question_0261.tex,B,G,B 
question_0262.tex,C,J,D 
question_0263.tex,D,K,E 
question_0264.tex,A,F,A 
question_0265.tex,C,J,D 
question_0266.tex,B,G,B 
question_0267.tex,C,J,D 
question_0268.tex,D,K,E 
question_0269.tex,D,K,E 
question_0270.tex,B,G,B 
question_0271.tex,D,K,E 
question_0272.tex,C,H,C 
question_0273.tex,D,K,E 
question_0274.tex,B,H,C 
question_0275.tex,A,F,A 
question_0276.tex,D,J,D 
question_0277.tex,B,G,B 
question_0278.tex,A,F,A 
question_0279.tex,C,J,D 
question_0280.tex,B,G,B 
question_0281.tex,C,H,C 
question_0282.tex,C,H,C 
question_0283.tex,B,H,C 
question_0284.tex,C,H,C 
question_0285.tex,C,H,C 
question_0286.tex,B,H,C 
question_0287.tex,D,J,D 
question_0288.tex,D,K,E 
question_0289.tex,C,J,D 
question_0290.tex,B,G,B 
question_0291.tex,A,G,B 
question_0292.tex,C,J,D 
question_0293.tex,D,K,E 
question_0294.tex,A,F,A 
question_0295.tex,B,G,B 
question_0296.tex,A,G,B 
question_0297.tex,B,G,B 
question_0298.tex,A,F,A 
question_0299.tex,C,J,D 
question_0300.tex,B,H,C 
question_0301.tex,D,K,E 
question_0302.tex,B,G,B 
question_0303.tex,B,G,B 
question_0304.tex,D,K,E 
question_0305.tex,B,H,C 
question_0306.tex,B,G,B 
question_0307.tex,D,K,E 
question_0308.tex,D,K,E 
question_0309.tex,A,G,B 
question_0310.tex,D,K,E 
question_0311.tex,D,K,E 
question_0312.tex,D,K,E 
question_0313.tex,C,H,C 
question_0314.tex,B,H,C 
question_0315.tex,A,F,A 
question_0316.tex,B,G,B 
question_0317.tex,A,F,A 
question_0318.tex,A,G,B 
question_0319.tex,D,K,E 
question_0320.tex,C,H,C 
question_0321.tex,A,F,A 
question_0322.tex,B,G,B 
question_0323.tex,A,G,B 
question_0324.tex,C,H,C 
question_0325.tex,C,H,C 
question_0326.tex,A,F,A 
question_0327.tex,C,H,C 
question_0328.tex,D,K,E 
question_0329.tex,C,J,D 
question_0330.tex,C,H,C 
question_0331.tex,A,F,A 
question_0332.tex,A,F,A 
question_0333.tex,B,H,C 
question_0334.tex,A,G,B 
question_0335.tex,A,G,B 
question_0336.tex,C,H,C 
question_0337.tex,A,F,A 
question_0338.tex,D,J,D 
question_0339.tex,C,H,C 
question_0340.tex,C,H,C 
question_0341.tex,B,H,C 
question_0342.tex,A,F,A 
question_0343.tex,A,F,A 
question_0344.tex,D,J,D 
question_0345.tex,D,K,E 
question_0346.tex,A,F,A 
question_0347.tex,C,J,D 
question_0348.tex,C,J,D 
question_0349.tex,C,H,C 
question_0350.tex,B,G,B 
question_0351.tex,C,J,D 
question_0352.tex,B,G,B 
question_0353.tex,B,H,C 
question_0354.tex,B,G,B 
question_0355.tex,B,G,B 
question_0356.tex,B,H,C 
question_0357.tex,D,K,E 
question_0358.tex,C,J,D 
question_0359.tex,B,H,C 
question_0360.tex,B,G,B 
question_0361.tex,B,H,C 
question_0362.tex,B,G,B 
question_0363.tex,C,H,C 
question_0364.tex,C,H,C 
question_0365.tex,C,J,D 
question_0366.tex,A,G,B 
question_0367.tex,A,F,A 
question_0368.tex,D,K,E 
question_0369.tex,B,H,C 
question_0370.tex,C,H,C 
question_0371.tex,C,H,C 
question_0372.tex,D,K,E 
question_0373.tex,C,H,C 
question_0374.tex,A,F,A 
question_0375.tex,C,J,D 
question_0376.tex,A,G,B 
question_0377.tex,B,G,B 
question_0378.tex,D,K,E 
question_0379.tex,D,J,D 
question_0380.tex,C,H,C 
question_0381.tex,C,H,C 
question_0382.tex,B,G,B 
question_0383.tex,C,J,D 
question_0384.tex,B,H,C 
question_0385.tex,D,J,D 
question_0386.tex,A,G,B 
question_0387.tex,D,K,E 
question_0388.tex,A,G,B 
question_0389.tex,D,K,E 
question_0390.tex,A,F,A 
question_0391.tex,B,G,B 
question_0392.tex,C,H,C 
question_0393.tex,C,J,D 
question_0394.tex,C,J,D 
question_0395.tex,C,J,D 
question_0396.tex,C,H,C 
question_0397.tex,D,J,D 
question_0398.tex,A,F,A 
question_0399.tex,D,J,D 
question_0400.tex,B,H,C 
question_0401.tex,C,J,D 
question_0402.tex,C,H,C 
question_0403.tex,A,G,B 
question_0404.tex,B,G,B 
question_0405.tex,B,G,B 
question_0406.tex,C,H,C 
question_0407.tex,B,G,B 
question_0408.tex,D,K,E 
question_0409.tex,B,G,B 
question_0410.tex,B,H,C 
question_0411.tex,A,F,A 
question_0412.tex,D,K,E 
question_0413.tex,C,J,D 
question_0414.tex,B,G,B 
question_0415.tex,A,F,A 
question_0416.tex,B,G,B 
question_0417.tex,D,K,E 
question_0418.tex,D,K,E 
question_0419.tex,C,J,D 
question_0420.tex,B,H,C 
question_0421.tex,B,G,B 
question_0422.tex,D,K,E 
question_0423.tex,B,H,C 
question_0424.tex,C,H,C 
question_0425.tex,C,J,D 
question_0426.tex,D,J,D 
question_0427.tex,A,F,A 
question_0428.tex,D,K,E 
question_0429.tex,D,K,E 
question_0430.tex,B,G,B 
question_0431.tex,C,J,D 
question_0432.tex,D,J,D 
question_0433.tex,A,G,B 
question_0434.tex,D,J,D 
question_0435.tex,D,J,D 
question_0436.tex,D,K,E 
question_0437.tex,C,H,C 
question_0438.tex,A,G,B 
question_0439.tex,C,J,D 
question_0440.tex,C,J,D 
question_0441.tex,D,K,E 
question_0442.tex,B,G,B 
question_0443.tex,C,H,C 
question_0444.tex,B,H,C 
question_0445.tex,A,F,A 
question_0446.tex,A,F,A 
question_0447.tex,B,H,C 
question_0448.tex,D,K,E 
question_0449.tex,C,H,C 
question_0450.tex,D,J,D 
question_0451.tex,B,G,B 
question_0452.tex,D,K,E 
question_0453.tex,C,J,D 
question_0454.tex,B,G,B 
question_0455.tex,D,K,E 
question_0456.tex,B,G,B 
question_0457.tex,B,G,B 
question_0458.tex,D,K,E 
question_0459.tex,C,J,D 
question_0460.tex,C,J,D 
question_0461.tex,C,J,D 
question_0462.tex,C,J,D 
question_0463.tex,A,F,A 
question_0464.tex,C,H,C 
question_0465.tex,D,K,E 
question_0466.tex,A,F,A 
question_0467.tex,B,G,B 
question_0468.tex,C,H,C 
question_0469.tex,C,H,C 
question_0470.tex,B,G,B 
question_0471.tex,B,G,B 
question_0472.tex,D,J,D 
question_0473.tex,A,G,B 
question_0474.tex,D,K,E 
question_0475.tex,C,H,C 
question_0476.tex,C,H,C 
question_0477.tex,A,F,A 
question_0478.tex,A,F,A 
question_0479.tex,C,J,D 
question_0480.tex,D,J,D 
question_0481.tex,D,J,D 
question_0482.tex,C,H,C 
question_0483.tex,D,K,E 
question_0484.tex,D,K,E 
question_0485.tex,C,H,C 
question_0486.tex,B,H,C 
question_0487.tex,D,K,E 
question_0488.tex,B,H,C 
question_0489.tex,C,H,C 
question_0490.tex,C,J,D 
question_0491.tex,D,K,E 
question_0492.tex,C,J,D 
question_0493.tex,D,K,E 
question_0494.tex,A,F,A 
question_0495.tex,D,K,E 
question_0496.tex,A,F,A 
question_0497.tex,D,K,E 
question_0498.tex,D,K,E 
question_0499.tex,D,J,D 
question_0500.tex,C,J,D 
question_0501.tex,B,G,B 
question_0502.tex,C,J,D 
question_0503.tex,B,G,B 
question_0504.tex,C,J,D 
question_0505.tex,D,K,E 
question_0506.tex,C,H,C 
question_0507.tex,A,G,B 
question_0508.tex,D,K,E 
question_0509.tex,B,H,C 
question_0510.tex,A,F,A 
question_0511.tex,A,G,B 
question_0512.tex,C,J,D 
question_0513.tex,C,H,C 
question_0514.tex,C,H,C 
question_0515.tex,C,J,D 
question_0516.tex,B,G,B 
question_0517.tex,C,J,D 
question_0518.tex,C,J,D 
question_0519.tex,B,H,C 
question_0520.tex,D,K,E 
question_0521.tex,A,F,A 
question_0522.tex,C,J,D 
question_0523.tex,C,J,D 
question_0524.tex,D,K,E 
question_0525.tex,B,H,C 
question_0526.tex,B,G,B 
question_0527.tex,A,F,A 
question_0528.tex,A,G,B 
question_0529.tex,D,K,E 
question_0530.tex,B,G,B 
question_0531.tex,D,K,E 
question_0532.tex,C,J,D 
question_0533.tex,A,F,A 
question_0534.tex,A,F,A 
question_0535.tex,C,J,D 
question_0536.tex,C,J,D 
question_0537.tex,D,J,D 
question_0538.tex,A,F,A 
question_0539.tex,B,H,C 
question_0540.tex,D,K,E 
